# FASTA 36.3.5a Jun, 2011(preload8)
# Query: abra|AB05870.1 - 650 aa
# Database: ../animal-plant/arabidopsis_thaliana.pep.fa
abra|AB05870.1	atha|AT3G24080	28.09	648	393	73	40	647	10	624	4.4e-14	77.7
abra|AB05870.1	atha|AT5G55660	23.46	682	425	97	3	649	71	690	0.00077	44.0
# FASTA 36.3.5a Jun, 2011(preload8)
# Query: afum|Afu1g05410 Afu1g05410 A_fumigatus_Af293 AspGDID: COORDS:chr1:1551407-1553321(-) translated using codon table 1 (618 amino acids) - 617 aa
# Database: ../animal-plant/arabidopsis_thaliana.pep.fa
afum|Afu1g05410	atha|AT3G24080	28.81	649	369	93	27	616	8	622	6e-15	80.5
afum|Afu1g05410	atha|AT3G28770	21.57	598	409	60	48	605	700	1277	0.00033	46.5
# FASTA 36.3.5a Jun, 2011(preload8)
# Query: amac|AMAG_13456T0 | AMAG_13456 | Allomyces macrogynus ATCC 38327 predicted protei - 626 aa
# Database: ../animal-plant/arabidopsis_thaliana.pep.fa
amac|AMAG_13456T0	atha|AT3G24080	29.51	593	371	47	67	626	45	623	2e-23	108.7
# FASTA 36.3.5a Jun, 2011(preload8)
# Query: anid|ANID_04065T0 | ANID_04065 | Aspergillus nidulans FGSC A4 ribosome biogenesis protein Kri - 598 aa
# Database: ../animal-plant/arabidopsis_thaliana.pep.fa
anid|ANID_04065T0	atha|AT3G24080	28.69	610	373	62	35	597	21	615	2.4e-11	68.5
# FASTA 36.3.5a Jun, 2011(preload8)
# Query: bcin|BC1T_07329 | BC1G_07329 | Botrytis cinerea protein KRI - 657 aa
# Database: ../animal-plant/arabidopsis_thaliana.pep.fa
bcin|BC1T_07329	atha|AT3G24080	28.14	636	393	64	48	647	10	617	6.4e-13	73.9
# FASTA 36.3.5a Jun, 2011(preload8)
# Query: calb_sc5314|orf19.1609 |  Candida Albicans sc5314 assembly 21 orf19.160 - 666 aa
# Database: ../animal-plant/arabidopsis_thaliana.pep.fa
calb_sc5314|orf19.1609	atha|AT3G24080	24.70	660	381	116	37	650	37	626	1.2e-06	53.0
calb_sc5314|orf19.1609	atha|AT3G28770	22.36	711	460	92	26	660	515	1209	1.6e-05	51.0
# FASTA 36.3.5a Jun, 2011(preload8)
# Query: cgui|PGUT_03785 | PGUG_03785 | Candida guilliermondii hypothetical protei - 554 aa
# Database: ../animal-plant/arabidopsis_thaliana.pep.fa
cgui|PGUT_03785	atha|AT1G56660	25.10	498	322	51	1	464	1	481	2.5e-05	48.1
cgui|PGUT_03785	atha|AT3G24080	29.26	581	310	101	17	534	30	572	3.1e-05	48.1
# FASTA 36.3.5a Jun, 2011(preload8)
# Query: cimm_rs|CIMG_03930T0 | CIMG_03930 | Coccidioides immitis RS ribosome biogenesis protein Kri - 618 aa
# Database: ../animal-plant/arabidopsis_thaliana.pep.fa
cimm_rs|CIMG_03930T0	atha|AT3G24080	27.45	652	378	95	23	617	12	625	3.8e-17	87.8
cimm_rs|CIMG_03930T0	atha|AT3G28770	20.39	667	465	66	6	616	710	1366	1.3e-05	51.2
# FASTA 36.3.5a Jun, 2011(preload8)
# Query: cneo_h99|CNAG_04376T0 | CNAG_04376 | Cryptococcus neoformans grubii H99 conserved hypothetical protei - 779 aa
# Database: ../animal-plant/arabidopsis_thaliana.pep.fa
cneo_h99|CNAG_04376T0	atha|AT3G24080	27.09	705	375	139	43	727	46	631	2.3e-10	65.6
cneo_h99|CNAG_04376T0	atha|AT1G56660	23.23	508	354	36	227	724	40	521	0.0001	46.6
# FASTA 36.3.5a Jun, 2011(preload8)
# Query: mcin|t_128748|gw1.02.1633.1 - 486 aa
# Database: ../animal-plant/arabidopsis_thaliana.pep.fa
mcin|t_128748|gw1.02.1633.1	atha|AT3G24080	31.55	542	283	88	5	485	46	560	2.8e-06	51.4
mcin|t_128748|gw1.02.1633.1	atha|AT2G22795	20.95	420	298	34	12	409	314	721	0.00013	46.0
# FASTA 36.3.5a Jun, 2011(preload8)
# Query: mgri|MGG_06242T0 | MGG_06242 | Magnaporthe grisea (M. oryzae) 70-15 ribosome biogenesis protein Kri - 702 aa
# Database: ../animal-plant/arabidopsis_thaliana.pep.fa
mgri|MGG_06242T0	atha|AT3G24080	27.93	673	397	88	47	694	11	620	1e-15	83.3
# FASTA 36.3.5a Jun, 2011(preload8)
# Query: mlar|t_86393|EuGene.00180047 - 704 aa
# Database: ../animal-plant/arabidopsis_thaliana.pep.fa
mlar|t_86393|EuGene.00180047	atha|AT3G24080	27.83	690	384	114	33	694	21	624	1.7e-24	112.4
# FASTA 36.3.5a Jun, 2011(preload8)
# Query: ncra|NCU06409T0 | NCU06409 | Neurospora crassa OR74A (finished) ribosome biogenesis protein Kri - 723 aa
# Database: ../animal-plant/arabidopsis_thaliana.pep.fa
ncra|NCU06409T0	atha|AT3G24080	27.86	682	398	94	36	688	10	626	4.2e-17	87.9
# FASTA 36.3.5a Jun, 2011(preload8)
# Query: ndis|NEUDI1_158970 - 728 aa
# Database: ../animal-plant/arabidopsis_thaliana.pep.fa
ndis|NEUDI1_158970	atha|AT3G24080	28.28	686	395	97	36	693	10	626	1.8e-16	85.9
ndis|NEUDI1_158970	atha|AT3G28770	22.34	788	493	119	14	721	397	1145	7.5e-05	48.9
# FASTA 36.3.5a Jun, 2011(preload8)
# Query: nfis|NFIA_019350 |  Neosartorya fischeri nul - 617 aa
# Database: ../animal-plant/arabidopsis_thaliana.pep.fa
